"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 16:34:27 GMT 2024","Tue Feb 13 16:34:32 GMT 2024","5179","Kiddosave","Kiddosave goals","","","","GET  KIDDO GOALS TRANS",""
"failed","Tue Feb 13 16:34:16 GMT 2024","Tue Feb 13 16:34:17 GMT 2024","1271","Kiddosave","Kiddosave goals","","","","CONFIRM MOB QUICKSAVE",""
"failed","Tue Feb 13 16:33:35 GMT 2024","Tue Feb 13 16:33:37 GMT 2024","1279","Kiddosave","Onboarding","","","","Verify Kid document",""
"passed","Tue Feb 13 16:34:10 GMT 2024","Tue Feb 13 16:34:12 GMT 2024","2048","Kiddosave","Kiddosave goals","","","","UPDATE GOALS",""
"passed","Tue Feb 13 16:34:14 GMT 2024","Tue Feb 13 16:34:16 GMT 2024","2062","Kiddosave","Kiddosave goals","","","","CONFIRM MOB QUICKSAVE- Wrong Ref",""
"failed","Tue Feb 13 16:34:05 GMT 2024","Tue Feb 13 16:34:07 GMT 2024","1721","Kiddosave","Kiddosave goals","","","","CREATE GOAL",""
"passed","Tue Feb 13 16:33:54 GMT 2024","Tue Feb 13 16:33:56 GMT 2024","1696","Kiddosave","Deposit","","","","comfirmKiddoNewCardQuickSave- Wrong Ref",""
"failed","Tue Feb 13 16:34:24 GMT 2024","Tue Feb 13 16:34:27 GMT 2024","2696","Kiddosave","Kiddosave goals","","","","BREAK KIDDOSAVE GOALS",""
"failed","Tue Feb 13 16:34:03 GMT 2024","Tue Feb 13 16:34:05 GMT 2024","1854","Kiddosave","Withdraw to float","","","","withdraw",""
"passed","Tue Feb 13 16:34:17 GMT 2024","Tue Feb 13 16:34:20 GMT 2024","2652","Kiddosave","Kiddosave goals","","","","ADD FUNDS TO KIDDOSAVE GOALS WITH CARD",""
"passed","Tue Feb 13 16:33:32 GMT 2024","Tue Feb 13 16:33:34 GMT 2024","1562","Kiddosave","Onboarding","","","","Create Kid Account-  Kid Limit",""
